,account_id,client_id,district_id,Gender,age,disposition_type,card_type,Year_DOC,Month_DOC,Day_DOC,Frequency_issuance,Nbr_Credit_Trans.,Amount_Credit_Trans.,Nbr_Debit_Trans.,Amount_Debit_Trans.,average_balance,Nbr_Credit_Cash,Nbr_Credit_Bank,Nbr_Credit_Others,Nbr_Debit_Cash,Nbr_Debit_Card,Nbr_Debit_Bank,Amount_Credit_Cash,Amount_Credit_Bank,Amount_Credit_Others,Amount_Debit_Cash,Amount_Debit_Card,Amount_Debit_Bank,Nbr_Statement_Trans.,Amount_Statement_Trans,Nbr_Interest_Credited_Trans,Amount_Interest_Credited_Trans,Nbr_Sanction_Interest_Trans,Amount_Sanction_Interest_Trans,Nbr_Pension_Trans,Amount_Pension_Trans,Nbr_PO_Leasing,Monthly_Amount_PO_Leasing,Nbr_Insurance_Trans,Amount_Insurance_Trans,Nbr_PO_Insurance,Monthly_Amount_PO_Insurance,Nbr_Household_Trans,Amount_Household_Trans,Nbr_PO_Household,Monthly_Amount_PO_Household,Nbr_Other_Trans,Amount_Other_Trans,Nbr_PO_Other,Monthly_Amount_PO_Other,Nbr_Loan_Trans,Amount_Loan_Trans,Nbr_PO_Loan,Monthly_Amount_PO_Loan,Theoritical_Amount_Loan_Due,Loan_Duration,Status_Loan_Owner,Region,Average_salary_district,Average_Unemployment_rate_district
225,1586,1921,1,Female,53,OWNER,not availed,1996,10,3,Monthly,58,517377.1,85,444649.2,45274,31,0,27,63,0,22,511917,0,5460.1,323561.2,0,121088,22,321.2,27,5460.1,0,0,0,0,,,0,0,,,22,121088,1,5504,72,835157,,,0,0,,,,,,Prague,12541,0.36
226,1587,1923,1,Female,41,OWNER,not availed,1996,12,11,Monthly,53,405212.6,52,363126,34715,3,25,25,52,0,0,4900,396580,3732.6,363126,0,0,20,292,25,3732.6,0,0,0,0,,,0,0,,,0,0,,,60,764314,,,0,0,,,,,,Prague,12541,0.36
227,1600,1939,1,Male,74,OWNER,not availed,1996,9,13,Monthly,52,184884.2,66,155853.2,19616,1,27,24,43,0,23,600,182439,1845.2,81471.2,0,74382,22,321.2,24,1845.2,0,0,27,182439,,,0,0,,,23,74382,1,3234,22,81750,,,0,0,,,,,,Prague,12541,0.36
228,1613,1956,1,Female,74,OWNER,not availed,1995,9,13,Monthly,76,251227.2,99,217016.4,18895,1,39,36,64,0,35,600,248001,2626.2,90036.4,0,126980,34,496.4,36,2626.2,0,0,39,248001,,,0,0,,,35,126980,1,3628,31,90140,,,0,0,,,,,,Prague,12541,0.36
229,1615,1959,1,Male,79,OWNER,not availed,1997,10,20,Monthly,26,94368.8,34,82131.4,17305,1,14,11,24,0,10,900,92764,704.8,50891.4,0,31240,9,131.4,11,704.8,0,0,14,92764,,,0,0,,,10,31240,1,3124,16,51660,,,0,0,,,,,,Prague,12541,0.36
230,1623,1967,1,Female,36,OWNER,not availed,1996,2,4,Monthly,72,945109.2,128,902198,37632,37,0,35,97,0,31,939596,0,5513.2,618238,0,283960,30,438,35,5513.2,0,0,0,0,,,0,0,,,31,283960,1,9160,104,1557396,,,0,0,,,,,,Prague,12541,0.36
231,1625,1970,1,Female,52,OWNER,not availed,1995,1,17,Monthly,97,636418.7,288,610124.2,23974,50,0,47,119,0,169,631494,0,4924.7,437193.2,0,172931,42,613.2,47,4924.7,0,0,0,0,,,42,28518,1,679,43,7955,1,185,127,1068074,2,3249,0,0,,,,,,Prague,12541,0.36
232,1627,1972,1,Female,53,OWNER,not availed,1994,1,20,Monthly,125,503701.5,159,471408.4,34122,66,0,59,159,0,0,495472,0,8229.5,471408.4,0,0,54,788.4,59,8229.5,0,0,0,0,,,0,0,,,0,0,,,171,966092,,,0,0,,,,,,Prague,12541,0.36
233,1637,1984,1,Male,73,OWNER,not availed,1993,1,8,Monthly,145,418636.8,281,384269.2,21918,1,72,72,147,0,134,500,411696,6440.8,160288.2,0,223981,67,978.2,72,6440.8,0,0,72,411696,,,0,0,,,67,51858,2,3343,81,159810,,,0,0,,,,,,Prague,12541,0.36
234,1644,1993,1,Male,24,OWNER,not availed,1993,5,9,Monthly,139,1134647.7,389,1089464.2,40311,72,0,67,200,0,189,1123838,0,10809.7,864365.2,0,225099,62,905.2,67,10809.7,0,0,0,0,,,63,1071,1,17,63,159642,1,2534,210,1987298,1,1022,0,0,,,,,,Prague,12541,0.36
235,1646,1996,1,Male,62,OWNER,not availed,1996,5,27,Weekly,100,1680064.4,167,1593131,65198,69,0,31,109,0,58,1672559,0,7505.4,1356143,0,236988,29,870,31,7505.4,0,0,0,0,,,0,0,,,29,189109,1,6521,149,3027832,1,1651,0,0,,,,,,Prague,12541,0.36
236,1647,1997,1,Female,22,OWNER,not availed,1997,7,9,Monthly,44,138449.8,74,99474.2,30881,27,0,17,35,0,39,136346,0,2103.8,52375.2,0,47099,12,175.2,17,2103.8,0,0,0,0,,,13,156,1,12,13,31356,1,2412,50,188546,1,1199,0,0,,,,,,Prague,12541,0.36
237,1653,2004,1,Female,25,OWNER,not availed,1994,9,19,Monthly,103,1357395.6,173,1283127.6,55531,52,0,51,127,0,46,1345465,0,11930.6,1068951.6,0,214176,46,671.6,51,11930.6,0,0,0,0,,,0,0,,,46,214176,1,4656,133,2413745,,,0,0,,,,,,Prague,12541,0.36
238,1660,2013,1,Female,59,OWNER,classic,1995,9,22,Monthly,93,1329267.8,110,1222352.8,51843,53,0,40,104,6,0,1321177,0,8090.8,1203552.8,18800,0,33,481.8,40,8090.8,0,0,0,0,1,2372.6,0,0,,,0,0,,,130,2543048,,,0,0,,,,,,Prague,12541,0.36
239,1662,2015,1,Female,31,OWNER,classic,1997,8,11,Monthly,35,409473.6,54,352787.2,54351,18,0,17,38,4,12,405609,0,3864.6,229575.2,7700,115512,12,175.2,17,3864.6,0,0,0,0,,,0,0,,,12,115512,1,9626,48,642709,,,0,0,,,,,,Prague,12541,0.36
240,1674,2032,1,Male,56,OWNER,not availed,1995,9,15,Monthly,104,354847.5,116,307736.4,35494,65,0,39,81,0,35,349244,0,5603.5,174596.4,0,133140,34,496.4,39,5603.5,0,0,0,0,,,0,0,,,35,133140,1,3804,112,523344,,,0,0,,,,,,Prague,12541,0.36
241,1678,2038,1,Female,19,OWNER,junior,1993,2,22,Monthly,141,1770958.5,338,1704499,44794,71,0,70,206,2,130,1757016,0,13942.5,1394549,2500,307450,65,949,70,13942.5,0,0,0,0,,,0,0,,,65,191880,1,2952,214,3153116,1,1778,0,0,,,,,,Prague,12541,0.36
242,1693,2056,1,Male,21,OWNER,not availed,1997,4,29,Immediate,41,596927.3,56,553505,42326,22,0,19,43,0,13,593842,0,3085.3,406917,0,146588,13,1300,19,3085.3,0,0,0,0,1,2482,0,0,,,13,146588,1,11276,52,999459,,,0,0,,,,,,Prague,12541,0.36
243,1701,2066,1,Male,27,OWNER,not availed,1993,8,10,Monthly,158,2153442.2,231,2135126.2,46283,94,0,64,171,0,60,2142927,0,10515.2,1680866.2,0,454260,62,905.2,64,10515.2,0,0,0,0,1,4425.3,0,0,,,60,454260,1,7571,203,3822888,,,0,0,,,,,,Prague,12541,0.36
244,1706,2071,1,Male,26,OWNER,not availed,1995,1,5,Monthly,127,220799.8,148,166871.8,42646,31,48,48,105,0,43,64300,148176,8323.8,78377.8,0,88494,43,627.8,48,8323.8,0,0,0,0,,,0,0,,,43,88494,1,2058,141,290226,,,0,0,,,,,,Prague,12541,0.36
245,1719,2084,1,Female,70,OWNER,not availed,1993,9,6,Monthly,129,271674.4,152,247491.4,21804,1,64,64,92,0,60,600,265728,5346.4,81411.4,0,166080,59,861.4,64,5346.4,0,0,64,265728,,,0,0,,,60,166080,1,2768,34,81150,,,0,0,,,,,,Prague,12541,0.36
246,1730,2099,1,Male,81,OWNER,not availed,1993,1,9,Monthly,141,487122.8,231,419959.6,40182,1,71,69,164,0,67,900,474919,11303.8,287433.6,0,132526,66,963.6,69,11303.8,0,0,71,474919,,,0,0,,,67,132526,1,1978,99,287370,,,0,0,,,,,,Prague,12541,0.36
247,1746,2118,1,Male,29,OWNER,not availed,1997,3,11,Monthly,44,453465.5,52,399433.6,69525,23,0,21,52,0,0,447455,0,6010.5,399433.6,0,0,16,233.6,21,6010.5,0,0,0,0,,,0,0,,,0,0,,,59,846655,,,0,0,,,,,,Prague,12541,0.36
248,1750,2122,1,Female,29,OWNER,gold,1993,1,26,Monthly,150,1997210.2,340,1909061.6,62245,79,0,71,189,18,133,1979045,0,18165.2,1228563.6,46500,633998,66,963.6,71,18165.2,0,0,0,0,,,0,0,,,67,269876,1,4028,220,3253145,1,5517,0,0,,,,,,Prague,12541,0.36
249,1784,2161,1,Female,79,OWNER,not availed,1993,5,8,Monthly,137,462111,220,430074.8,24851,1,68,68,157,0,63,400,454648,7063,317619.8,0,112455,63,919.8,68,7063,0,0,68,454648,,,0,0,,,63,112455,1,1785,95,317100,,,0,0,,,,,,Prague,12541,0.36
250,1788,2167,1,Male,18,OWNER,not availed,1994,1,4,Monthly,143,297502.8,120,237953,23910,83,0,60,120,0,0,291909,0,5593.8,237953,0,0,55,803,60,5593.8,0,0,0,0,,,0,0,,,0,0,,,148,529059,,,0,0,,,,,,Prague,12541,0.36
251,1791,2171,1,Male,41,OWNER,not availed,1996,2,3,Monthly,75,510828.7,121,486554,40694,40,0,35,90,0,31,505162,0,5666.7,270918,0,215636,30,438,35,5666.7,0,0,0,0,,,0,0,,,31,215636,1,6956,100,775642,,,0,0,,,,,,Prague,12541,0.36
252,1809,2192,1,Female,43,OWNER,not availed,1993,11,12,Weekly,149,1466712.8,310,1403787,38188,27,61,61,139,0,171,124400,1333652,8660.8,645003,0,758784,56,1680,61,8660.8,0,0,0,0,,,57,391020,1,6860,57,357333,1,6269,171,2101375,1,183,0,0,,,,,,Prague,12541,0.36
253,1828,2216,1,Female,27,OWNER,not availed,1994,9,28,Monthly,139,2333325.4,325,2268941,58396,89,0,50,141,0,184,2322328,0,10997.4,1933141,0,335800,45,657,50,10997.4,0,0,0,0,1,2394.5,46,7038,1,153,46,185656,1,4036,185,4254812,2,3111,0,0,,,,,,Prague,12541,0.36
254,1831,2222,1,Female,65,OWNER,not availed,1993,9,21,Monthly,123,414976.7,220,390589.8,25689,1,63,59,161,0,59,600,408240,6136.7,269816.8,0,120773,58,846.8,59,6136.7,0,0,63,408240,,,0,0,,,59,120773,1,2047,104,269570,,,0,0,,,,,,Prague,12541,0.36
255,1848,2242,1,Female,23,OWNER,not availed,1994,8,4,Monthly,117,324317.8,146,296117.8,19096,64,0,53,97,0,49,320275,0,4042.8,125940.8,0,170177,48,700.8,53,4042.8,0,0,0,0,,,0,0,,,49,170177,1,3473,113,445515,,,0,0,,,,,,Prague,12541,0.36
256,1865,2263,1,Male,65,OWNER,not availed,1994,5,4,Monthly,113,357568.4,200,335734.6,28902,1,56,56,148,0,52,800,350336,6432.4,236154.6,0,99580,51,744.6,56,6432.4,0,0,56,350336,,,0,0,,,52,99580,1,1915,98,236210,,,0,0,,,,,,Prague,12541,0.36
257,1869,2267,1,Female,33,OWNER,classic,1996,6,14,Monthly,61,810626.4,108,717459,67825,31,0,30,85,12,11,802080,0,8546.4,682365,23500,11594,25,365,30,8546.4,0,0,0,0,,,0,0,,,0,0,,,103,1507580,,,11,11594,1,1054,37944,36,C,Prague,12541,0.36
258,1876,2277,1,Male,20,OWNER,junior,1997,9,20,Monthly,34,319698.2,58,270795,45958,19,0,15,32,1,25,317001,0,2697.2,202006,1100,67689,10,146,15,2697.2,0,0,0,0,,,0,0,,,11,25619,1,2329,42,519961,1,723,4,34840,1,8710,209040,24,C,Prague,12541,0.36
259,1882,2283,1,Male,38,OWNER,not availed,1993,12,21,Monthly,131,403672.1,273,389168,17098,71,0,60,108,0,165,399070,0,4602.1,174503,0,214665,55,803,60,4602.1,0,0,0,0,,,55,3300,1,60,55,104885,1,1907,124,572770,1,1936,0,0,,,,,,Prague,12541,0.36
260,1890,2293,1,Male,30,OWNER,not availed,1997,7,20,Weekly,35,626166.5,54,621241.4,29418,1,17,17,54,0,0,600,623857,1709.5,621241.4,0,0,12,360,17,1709.5,2,2.4,0,0,,,0,0,,,0,0,,,58,1245336,,,0,0,,,,,,Prague,12541,0.36
261,1906,2316,1,Male,29,OWNER,not availed,1996,8,1,Monthly,69,901370.3,147,862582.8,49928,40,0,29,84,0,63,895743,0,5627.3,654178.8,0,208404,23,335.8,29,5627.3,0,0,0,0,,,0,0,,,24,176520,1,7355,101,1549586,1,158,15,28092,1,1872.8,44947.2,24,C,Prague,12541,0.36
262,1907,2317,1,Male,23,OWNER,not availed,1997,3,25,Monthly,44,428275.9,86,360927.6,46032,23,0,21,53,0,33,424395,0,3880.9,219933.6,0,140994,16,233.6,21,3880.9,0,0,0,0,,,0,0,,,16,130896,1,8181,60,644095,1,594,0,0,,,,,,Prague,12541,0.36
263,1929,2343,1,Male,40,OWNER,classic,1997,7,6,Monthly,47,112626.1,48,57640.8,45666,11,18,18,29,6,13,39900,69480,3246.1,23289.8,8000,26351,13,189.8,18,3246.1,0,0,0,0,,,0,0,,,13,26351,1,2027,51,140480,,,0,0,,,,,,Prague,12541,0.36
264,1938,2354,1,Male,32,OWNER,not availed,1994,6,25,Monthly,110,1424487.3,205,1357195.4,46435,56,0,54,155,0,50,1414975,0,9512.3,1024895.4,0,332300,49,715.4,54,9512.3,0,0,0,0,1,586,0,0,,,50,332300,1,6646,162,2439155,,,0,0,,,,,,Prague,12541,0.36
265,1966,2391,1,Male,57,OWNER,not availed,1993,2,12,Monthly,144,1600543.5,279,1537677.6,41186,73,0,71,213,0,66,1588153,0,12390.5,1170123.6,0,367554,66,963.6,71,12390.5,0,0,0,0,,,0,0,,,66,367554,1,5569,220,2757313,,,0,0,,,,,,Prague,12541,0.36
266,1978,2403,1,Female,36,OWNER,not availed,1993,6,11,Weekly,135,2465582.1,429,2397543.8,56266,3,66,66,207,0,222,6400,2445443,13739.1,1370399,0,1027144.8,61,1830,66,13739.1,0,0,0,0,,,62,22072,1,356,62,434062,1,7001,215,3820412,1,5900,36,205210.8,1,5700.3,205210.8,36,A,Prague,12541,0.36
267,1990,2418,1,Female,46,OWNER,not availed,1993,6,9,Monthly,135,224897.4,196,191731.2,23490,1,67,67,134,0,62,600,217951,6346.4,57315.2,0,134416,62,905.2,67,6346.4,0,0,0,0,,,0,0,,,0,0,1,2168,202,409377,,,0,0,,,,,,Prague,12541,0.36
268,1991,2419,1,Female,45,OWNER,not availed,1996,11,16,Monthly,52,611371.3,124,523790,41908,27,0,25,62,0,62,607155,0,4216.3,370392,0,153398,20,292,25,4216.3,0,0,0,0,,,21,7161,1,341,21,59997,1,2857,69,977255,1,4312,0,0,,,,,,Prague,12541,0.36
269,1998,2428,1,Female,53,OWNER,classic,1993,6,17,Monthly,134,1696066.7,198,1618390.6,56408,68,0,66,158,40,0,1681262,0,14804.7,1533690.6,84700,0,61,890.6,66,14804.7,0,0,0,0,,,0,0,,,0,0,,,205,3298762,,,0,0,,,,,,Prague,12541,0.36
270,2010,2441,1,Male,71,OWNER,not availed,1993,12,27,Monthly,117,354954.3,170,328803,20494,1,60,56,115,0,55,1100,348900,4954.3,115623,0,213180,55,803,56,4954.3,0,0,60,348900,,,0,0,,,55,213180,1,3876,61,115920,,,0,0,,,,,,Prague,12541,0.36
271,2016,2449,1,Male,32,OWNER,not availed,1997,2,23,Monthly,58,95464,101,77714.2,20111,14,22,22,47,0,54,28800,64922,1742,42308.2,0,35406,17,248.2,22,1742,0,0,0,0,,,18,2826,1,157,18,13338,1,741,66,135782,1,1069,0,0,,,,,,Prague,12541,0.36
272,2054,2493,1,Male,37,OWNER,classic,1995,1,24,Monthly,97,1033594.2,236,979899.2,44282,50,0,47,102,6,128,1025402,0,8192.2,594613.2,14000,371286,42,613.2,47,8192.2,0,0,0,0,,,43,120486,1,2802,43,63984,1,1488,116,1633402,1,4448,0,0,,,,,,Prague,12541,0.36
273,2057,2496,1,Male,27,OWNER,classic,1997,6,20,Monthly,38,415758.3,91,363515.8,55522,20,0,18,35,1,55,412137,0,3621.3,287589.8,1100,74826,13,189.8,18,3621.3,0,0,0,0,,,14,10766,1,769,14,50022,1,3573,43,700637,2,1072,0,0,,,,,,Prague,12541,0.36
274,2063,2502,1,Female,64,OWNER,classic,1993,12,4,Monthly,123,367660.3,203,327521.6,33398,1,61,61,141,5,57,700,358985,7975.3,228827.6,10800,87894,56,817.6,61,7975.3,0,0,61,358985,,,0,0,,,57,87894,1,1542,91,239510,,,0,0,,,,,,Prague,12541,0.36
275,2083,2526,1,Male,35,OWNER,not availed,1996,9,28,Monthly,55,711160.4,81,693245.2,28232,28,0,27,59,0,22,707739.5,0,3420.9,511041.2,0,182204,22,321.2,27,3420.9,0,0,0,0,,,0,0,,,22,182204,1,8282,65,1218459.5,,,0,0,,,,,,Prague,12541,0.36
276,2091,2534,1,Male,56,OWNER,not availed,1996,9,25,Monthly,63,178830.3,61,127421.2,40390,36,0,27,61,0,0,174476,0,4354.3,127421.2,0,0,22,321.2,27,4354.3,0,0,0,0,,,0,0,,,0,0,,,75,301576,,,0,0,,,,,,Prague,12541,0.36
277,2092,2535,1,Male,54,OWNER,not availed,1994,4,29,Monthly,125,1526127.2,165,1418712.6,42837,69,0,56,117,0,48,1517727,0,8400.2,1054008.6,0,364704,51,744.6,56,8400.2,0,0,0,0,,,0,0,,,48,364704,1,7598,135,2570991,,,0,0,,,,,,Prague,12541,0.36
278,2106,2550,1,Female,23,OWNER,not availed,1996,2,1,Monthly,72,476665.8,113,449786,22391,37,0,35,70,0,43,473596,0,3069.8,240758,0,209028,30,438,35,3069.8,0,0,0,0,,,0,0,,,31,107508,1,3468,77,713916,,,12,101520,1,8460,101520,12,A,Prague,12541,0.36
279,2126,2572,1,Male,46,OWNER,classic,1997,2,9,Monthly,48,1039499.3,75,977803.8,69302,2,23,23,73,2,0,5600,1027073,6826.3,975703.8,2100,0,18,262.8,23,6826.3,0,0,0,0,,,0,0,,,0,0,,,82,2010214,,,0,0,,,,,,Prague,12541,0.36
280,2127,2573,1,Female,34,OWNER,not availed,1997,5,9,Monthly,44,78450.7,55,63369.4,18934,6,19,19,40,0,15,20100,56867,1483.7,33444.4,0,29925,14,204.4,19,1483.7,0,0,0,0,,,0,0,,,15,29925,1,1995,51,110207,,,0,0,,,,,,Prague,12541,0.36
281,2143,2592,1,Female,19,OWNER,junior,1996,1,13,Monthly,72,870513,156,840922,33957,37,0,35,87,10,59,864948,0,5565,538458,21700,280764,30,438,35,5565,0,0,0,0,,,0,0,,,31,225184,1,7264,104,1424668,,,28,55580,1,1985,71460,36,C,Prague,12541,0.36
282,2148,2599,1,Male,53,OWNER,not availed,1995,9,22,Monthly,84,159174.2,141,136616.4,16313,6,39,39,73,0,68,17800,138684,2690.2,56036.4,0,80580,34,496.4,39,2690.2,0,0,0,0,,,0,0,,,34,78234,1,2301,84,212024,1,69,0,0,,,,,,Prague,12541,0.36
283,2156,2609,1,Male,22,OWNER,classic,1996,9,11,Monthly,56,720855.5,90,671284.2,43764,29,0,27,63,4,23,716073.5,0,4782,435601.2,7500,228183,22,321.2,27,4782,0,0,0,0,,,0,0,,,23,228183,1,9921,74,1158853.5,,,0,0,,,,,,Prague,12541,0.36
284,2159,2613,1,Male,22,OWNER,not availed,1996,1,1,Monthly,74,900742.5,159,846120.6,40696,38,0,36,95,0,64,895074,0,5668.5,567112.6,0,279008,31,452.6,36,5668.5,0,0,0,0,,,0,0,,,32,35776,1,1118,102,1461734,1,7601,0,0,,,,,,Prague,12541,0.36
285,2170,2626,1,Male,59,OWNER,classic,1994,5,19,Immediate,124,3133091.5,318,3055044,73275,14,55,55,163,2,153,127600,2990815,14676.5,2423277,3600,628167,50,5000,55,14676.5,0,0,0,0,,,51,306561,1,6011,51,246738,1,4838,184,5540292,1,1468,0,0,,,,,,Prague,12541,0.36
286,2172,2628,1,Female,68,OWNER,not availed,1997,9,2,Monthly,33,84197.4,32,55413.6,20131,1,16,16,21,0,11,1100,81920,1177.4,17870.6,0,37543,11,160.6,16,1177.4,0,0,16,81920,,,0,0,,,11,37543,1,3413,11,18810,,,0,0,,,,,,Prague,12541,0.36
287,2175,2633,1,Female,32,OWNER,not availed,1993,4,27,Monthly,171,2473943.5,230,2379372.2,51614,103,0,68,230,0,0,2460306,0,13637.5,2379372.2,0,0,64,934.4,68,13637.5,1,0.8,0,0,,,0,0,,,0,0,,,268,4838743,,,0,0,,,,,,Prague,12541,0.36
288,2179,2638,1,Male,57,OWNER,not availed,1994,1,14,Weekly,120,1523642.8,276,1462513,57574,72,0,48,120,0,156,1511969,0,11673.8,1214707,0,247806,38,1140,48,11673.8,0,0,0,0,,,39,9360,1,240,39,93054,1,2386,154,2725536,2,3728,0,0,,,,,,Prague,12541,0.36
289,2191,2653,1,Male,49,OWNER,not availed,1996,8,8,Monthly,60,421332.2,100,398360.4,22888,31,0,29,75,0,25,418524,0,2808.2,229310.4,0,169050,24,350.4,29,2808.2,0,0,0,0,,,0,0,,,25,169050,1,6762,82,647484,,,0,0,,,,,,Prague,12541,0.36
290,2199,2661,1,Female,38,OWNER,not availed,1993,8,4,Monthly,159,308760.3,285,292206,23454,29,65,65,165,0,120,58900,243555,6305.3,142326,0,149880,60,876,65,6305.3,0,0,0,0,,,0,0,,,60,40080,1,668,199,443905,1,1830,0,0,,,,,,Prague,12541,0.36
291,2200,2662,1,Male,21,OWNER,junior,1997,6,26,Monthly,38,228825.1,36,175989.8,36765,20,0,18,33,3,0,226329,0,2496.1,173189.8,2800,0,13,189.8,18,2496.1,0,0,0,0,1,397,0,0,,,0,0,,,43,402129,,,0,0,,,,,,Prague,12541,0.36
292,2213,2679,1,Male,61,OWNER,not availed,1993,7,11,Monthly,158,758052.6,226,727109,27458,93,0,65,165,0,61,750905,0,7147.6,344456,0,382653,60,876,65,7147.6,0,0,0,0,,,0,0,,,61,382653,1,6273,198,1094485,,,0,0,,,,,,Prague,12541,0.36
293,2229,2701,1,Male,47,OWNER,not availed,1997,1,27,Monthly,50,391139.6,78,364357.8,28692,27,0,23,59,0,19,388650,0,2489.6,181862.8,0,182495,18,262.8,23,2489.6,0,0,0,0,,,0,0,,,19,182495,1,9605,68,570250,,,0,0,,,,,,Prague,12541,0.36
294,2232,2704,1,Female,50,OWNER,not availed,1996,5,7,Monthly,82,356914.2,98,297742.2,35511,50,0,32,70,0,28,352290,0,4624.2,160094.2,0,137648,27,394.2,32,4624.2,0,0,0,0,,,0,0,,,28,137648,1,4916,93,511990,,,0,0,,,,,,Prague,12541,0.36
295,2246,2720,1,Female,50,OWNER,not availed,1996,4,25,Monthly,81,1261564.7,108,1186715.2,46117,50,0,31,85,0,23,1256446,0,5118.7,1027325.2,0,159390,27,394.2,31,5118.7,0,0,0,0,,,0,0,,,0,0,,,108,2283377,,,23,159390,1,6930,415800,60,C,Prague,12541,0.36
296,2252,2726,1,Female,26,OWNER,not availed,1996,10,5,Monthly,55,90470.9,85,67359.2,18957,1,27,27,39,0,46,700,87885,1885.9,18921.2,0,48438,22,321.2,27,1885.9,0,0,0,0,,,0,0,,,23,14651,1,637,45,107185,1,1469,0,0,,,,,,Prague,12541,0.36
297,2254,2729,1,Male,33,OWNER,not availed,1996,4,17,Monthly,91,1419711.4,153,1328946,52807,59,0,32,93,0,60,1413471,0,6240.4,1017936,0,311010,30,438,32,6240.4,0,0,0,0,1,4349.3,0,0,,,30,266370,1,8879,122,2430969,1,1488,0,0,,,,,,Prague,12541,0.36
298,2260,2736,1,Female,41,OWNER,not availed,1994,6,7,Monthly,105,535760.6,176,538585.1,7485,65,0,40,176,0,0,533580,0,2180.6,538585.1,0,0,37,540.2,40,2180.6,29,1264.9,0,0,,,0,0,,,45,258100,,,130,812260,,,0,0,,,,,,Prague,12541,0.36
299,2261,2738,1,Male,48,OWNER,not availed,1996,12,27,Weekly,43,519507.8,53,471907,29825,19,0,24,53,0,0,516672,0,2835.8,471907,0,0,13,390,24,2835.8,0,0,0,0,,,0,0,,,14,152500,,,45,835689,,,0,0,,,,,,Prague,12541,0.36
300,2268,2746,1,Male,28,OWNER,not availed,1995,2,11,Monthly,93,1192766.4,193,1118431.6,55271,47,0,46,122,0,71,1182500,0,10266.4,860998.6,0,257433,41,598.6,46,10266.4,0,0,0,0,,,0,0,,,42,241164,1,5742,128,2042900,,,29,16269,1,561,20196,36,C,Prague,12541,0.36
301,2275,2755,1,Female,29,OWNER,not availed,1996,9,16,Monthly,56,396188.8,73,351834.2,23820,29,0,27,50,0,23,393830,0,2358.8,201621.2,0,150213,22,321.2,27,2358.8,0,0,0,0,,,0,0,,,23,150213,1,6531,57,595130,,,0,0,,,,,,Prague,12541,0.36
302,2278,2758,1,Male,53,OWNER,not availed,1996,8,3,Monthly,61,467326.3,127,419800.4,34642,32,0,29,77,0,50,463252,0,4074.3,206750.4,0,213050,24,350.4,29,4074.3,0,0,0,0,,,0,0,,,25,28625,1,1145,85,669652,1,7377,0,0,,,,,,Prague,12541,0.36
303,2281,2761,1,Female,22,OWNER,not availed,1995,7,13,Monthly,85,654828.4,148,625165.6,30893,44,0,41,111,0,37,649600,0,5228.4,413525.6,0,211640,36,525.6,41,5228.4,0,0,0,0,,,0,0,,,37,211640,1,5720,119,1062600,,,0,0,,,,,,Prague,12541,0.36
304,2287,2768,1,Male,35,OWNER,classic,1996,4,21,Monthly,65,830681.7,110,788894.2,58616,33,0,32,76,6,28,823645,0,7036.7,601794.2,11400,175700,27,394.2,32,7036.7,0,0,0,0,,,0,0,,,28,175700,1,6275,88,1436445,,,0,0,,,,,,Prague,12541,0.36
305,2289,2770,1,Male,45,OWNER,not availed,1996,3,7,Monthly,69,580903.4,116,542189.8,31122,36,0,33,87,0,29,576569,0,4334.4,388228.8,0,153961,28,408.8,33,4334.4,0,0,0,0,,,0,0,,,29,153961,1,5309,95,964389,,,0,0,,,,,,Prague,12541,0.36
306,2299,2783,1,Male,59,OWNER,not availed,1997,1,21,Monthly,50,213152.3,57,193962.8,15881,27,0,23,57,0,0,211700,0,1452.3,193962.8,0,0,18,262.8,23,1452.3,0,0,0,0,,,0,0,,,0,0,,,66,405400,,,0,0,,,,,,Prague,12541,0.36
307,2305,2789,1,Female,48,OWNER,not availed,1993,12,11,Monthly,116,250518.5,183,268626.1,10074,16,60,40,183,0,0,35300,212520,2698.5,268626.1,0,0,35,511,40,2698.5,22,2285.1,0,0,,,0,0,,,38,89500,,,164,424150,,,0,0,,,,,,Prague,12541,0.36
308,2316,2802,1,Female,33,OWNER,not availed,1997,7,21,Monthly,42,84360.6,70,56755.2,25113,8,17,17,32,0,38,28400,54230,1730.6,29125.2,0,27630,12,175.2,17,1730.6,0,0,0,0,,,0,0,,,13,27443,1,2111,45,111580,2,15,0,0,,,,,,Prague,12541,0.36
309,2324,2811,1,Female,53,OWNER,not availed,1997,5,24,Monthly,39,300231.7,58,273569.4,23817,20,0,19,43,0,15,298412,0,1819.7,211304.4,0,62265,14,204.4,19,1819.7,0,0,0,0,,,0,0,,,15,62265,1,4151,49,509512,,,0,0,,,,,,Prague,12541,0.36
310,2329,2817,1,Female,22,OWNER,not availed,1996,8,7,Monthly,60,212551.3,79,176635.8,22595,32,0,28,55,0,24,209833,0,2718.3,71035.8,0,105600,23,335.8,28,2718.3,0,0,0,0,,,0,0,,,24,105600,1,4400,64,280533,,,0,0,,,,,,Prague,12541,0.36
311,2355,2846,1,Female,30,OWNER,not availed,1995,1,3,Monthly,97,2226845.7,161,2124600.8,55721,1,48,48,161,0,0,600,2215616,10629.7,2124600.8,0,0,43,627.8,48,10629.7,0,0,0,0,,,0,0,,,0,0,,,167,4340189,,,0,0,,,,,,Prague,12541,0.36
